AREA_CODE,AGE_GROUP,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,age
E06000005,64,1168,1217.731,1198.249,1164.958,1270.562,1248.087,1375.531,1370.859,1333.676,1448.249,1489.994,1501.5,1451.296,1535.293,1545.651,1488.552,1413.425,1387.223,1453.089,1462.515,1378.842,1282.493,1249.681,1193.527,1153.28,1094.411,64
E06000005,65,1179,1154.335,1203.194,1183.944,1151.365,1254.777,1234.59,1359.316,1355.112,1319.25,1431.875,1473.591,1485.292,1436.789,1519.147,1529.167,1473.448,1400.002,1374.243,1438.274,1448.246,1365.648,1270.742,1237.63,1182.351,1143.055,65
E06000005,66,1196,1164.571,1140.984,1188.735,1170.693,1138.753,1240.661,1222.047,1344.481,1340.861,1306.241,1417.172,1458.776,1470.728,1423.888,1504.741,1514.453,1460.056,1388.129,1362.727,1425.084,1435.648,1353.928,1260.314,1226.872,1172.285,66
E06000005,67,1263,1179.489,1148.978,1125.612,1172.055,1155.364,1124.177,1224.4,1206.996,1327.03,1324.015,1290.559,1399.676,1441.104,1453.199,1407.809,1487.234,1496.588,1443.527,1373.096,1348.161,1408.954,1419.988,1339.296,1247.066,1213.466,67
E06000005,68,1265,1248.225,1167.844,1138.215,1114.618,1160.642,1144.233,1113.874,1213.084,1196.875,1315.005,1312.274,1279.939,1387.621,1428.949,1441.217,1397.308,1475.438,1484.608,1432.669,1363.541,1338.885,1398.406,1410.007,1329.999,1238.918,68
E06000005,69,1440,1253.907,1237.774,1159.972,1130.353,1106.534,1152.375,1136.471,1106.957,1205.013,1189.987,1306.383,1304.097,1272.856,1379.261,1420.666,1433.162,1390.629,1467.648,1476.654,1425.706,1357.804,1333.419,1391.679,1403.718,1324.423,69
E06000005,70,1121,1420.93,1239.145,1223.867,1148.011,1119.515,1095.384,1140.764,1125.412,1096.634,1193.539,1179.67,1294.415,1292.412,1262.324,1367.309,1408.685,1421.396,1380.464,1456.123,1465.226,1415.253,1348.745,1324.607,1381.651,1394.217,70
E06000005,71,1090,1100.473,1397.947,1219.258,1203.416,1128.197,1101.976,1078.375,1123.039,1108.064,1080.113,1175.416,1162.642,1275.262,1273.618,1244.658,1347.916,1389.114,1401.957,1362.372,1436.724,1445.643,1396.945,1331.906,1308.336,1364.064,71
E06000005,72,1001,1068.62,1080.265,1372.097,1196.675,1180.868,1108.542,1083.053,1059.871,1103.972,1089.51,1062.506,1156.172,1144.41,1254.938,1253.644,1225.737,1327.252,1368.191,1381.145,1342.89,1415.9,1424.669,1377.27,1313.664,1290.671,72
E06000005,73,860,982.083,1048.487,1062.282,1348.43,1175.486,1161.199,1090.842,1066.208,1043.336,1086.936,1073.212,1047.057,1139.16,1128.431,1237.023,1236.2,1209.37,1309.267,1350.097,1363.275,1326.279,1398.152,1406.782,1360.598,1298.413,73
E06000005,74,818,842.275,962.025,1025.766,1038.805,1318.694,1152.344,1137.953,1069.457,1045.606,1023.506,1066.634,1053.472,1028.274,1118.442,1108.795,1215.126,1214.783,1189.106,1287.049,1327.622,1340.986,1305.406,1375.872,1384.389,1339.555,74
E06000005,75,785,795.787,820.819,937.869,998.697,1012.591,1286.348,1124.865,1110.946,1044.578,1021.868,1000.601,1043.132,1030.708,1006.626,1094.665,1086.04,1189.8,1189.981,1165.542,1261.415,1301.629,1315.166,1280.915,1349.993,1358.253,75
E06000005,76,799,761.507,772.355,797.528,911.485,970.304,984.604,1251.671,1095.571,1081.945,1018.151,996.528,976.154,1017.913,1006.247,983.294,1069.166,1061.722,1162.759,1163.406,1140.316,1233.936,1273.778,1287.43,1254.75,1322.226,76
E06000005,77,860,779.362,743.853,752.967,777.582,890.894,947.556,962.42,1224.523,1072.127,1058.463,997.827,977.11,957.308,998.213,987.018,964.965,1049.673,1043.55,1142.394,1143.219,1121.354,1213.145,1252.699,1266.358,1235.506,77
E06000005,78,782,833.488,757.089,723.483,733.377,757.268,868.193,922.76,938.331,1195.053,1046.874,1033.041,975.392,955.727,936.586,976.555,965.937,944.89,1028.043,1023.181,1119.588,1120.766,1100.217,1189.969,1229.125,1242.822,78
E06000005,79,728,752.712,801.142,728.498,697.453,706.13,731.014,838.147,890.407,906.422,1155.496,1013.074,999.441,944.938,926.446,908.206,947.181,937.282,917.404,998.344,994.684,1088.095,1089.651,1070.507,1157.699,1196.255,79
E06000005,80,678,697.893,722.293,767.818,699.731,671.84,679.969,704.401,808.123,858.009,874.679,1116.001,979.419,965.933,915.031,897.704,880.376,918.206,909.097,890.508,969.213,966.999,1057.231,1059.221,1041.6,1126.109,80
E06000005,81,649,648.928,670.716,694.413,737.345,673.433,647.052,655.935,680.286,780.424,828.465,845.105,1079.508,948.515,935.449,886.931,870.628,854.279,891.251,882.996,865.668,941.851,940.801,1028.078,1030.693,1014.306,81
E06000005,82,562,614.039,617.872,639.751,661.962,703.073,643.1,618.821,628.028,652.06,748.443,794.068,810.855,1036.722,912.388,899.513,854.242,839.139,823.81,859.547,852.17,836.209,909.747,910.16,994.004,997.144,82
E06000005,83,561,534.134,586.385,590.865,614.366,635.433,673.763,617.873,595.077,605.094,628.817,721.783,765.7,782.462,1001.639,882.45,870.03,827.052,812.956,798.495,833.451,826.796,812.054,883.238,884.724,965.742,83
E06000005,84,481,523.568,499.128,548.231,553.998,574.839,596.682,632.537,581.165,560.285,570.684,594.034,682,723.453,739.988,948.532,836.873,825.291,785.43,772.559,759.399,793.105,787.456,774.112,841.902,844.466,84
E06000005,85,418,443.621,484.255,461.367,506.961,511.282,533.434,554.133,587.337,540.706,521.674,532.712,555.112,637.51,676.441,692.631,888.97,785.537,774.941,738.307,726.874,714.954,747.243,742.633,730.728,794.79,85
